fecha,región,canal,linea_de_producto,sku,unidades_vendidas,precio_unitario,descuento_pct,total_ingresos,anio,mes,dia,descuento_decimal,precio_final,ingreso_calculado,es_linea_joven
2024-12-09,Norte,Directo,linea_orgánica,LO-002,2,229,15,3893,2024,12,9,0.15,194.65,389.3,False
2024-10-14,Sur,Directo,linea_profesional,LP-001,12,1102,0,13224,2024,10,14,0.0,1102.0,13224.0,False
2024-12-13,Este,Red de Distribución,linea_profesional,LP-002,5,1383,5,6569,2024,12,13,0.05,1313.85,6569.25,False
2025-02-11,Este,Directo,linea_joven,LJ-001,4,2369,15,8055,2025,2,11,0.15,2013.6499999999999,8054.599999999999,True
2024-12-21,Sur,Red de Distribución,linea_joven,LJ-001,8,1082,0,8656,2024,12,21,0.0,1082.0,8656.0,True
2024-12-09,Norte,Directo,linea_joven,LJ-001,30,2126,10,57402,2024,12,9,0.1,1913.4,57402.0,True
2024-11-17,Este,Directo,linea_orgánica,LO-002,11,1342,15,12548,2024,11,17,0.15,1140.7,12547.7,False
2024-06-30,Oeste,Directo,linea_orgánica,LO-001,28,201,0,5628,2024,6,30,0.0,201.0,5628.0,False
2025-04-18,Norte,Red de Distribución,linea_orgánica,LO-003,14,2032,10,25603,2025,4,18,0.1,1828.8,25603.2,False
2025-04-23,Este,Directo,linea_joven,LJ-003,8,1095,10,7884,2025,4,23,0.1,985.5,7884.0,True
2024-05-29,Sur,Online,linea_joven,LJ-001,4,1221,10,4396,2024,5,29,0.1,1098.9,4395.6,True
2024-07-07,Norte,Red de Distribución,linea_joven,LJ-002,18,2211,10,35818,2024,7,7,0.1,1989.9,35818.200000000004,True
2024-11-03,Centro,Online,linea_joven,LJ-003,25,2199,10,49478,2024,11,3,0.1,1979.1000000000001,49477.5,True
2024-08-03,Centro,Red de Distribución,linea_orgánica,LO-003,26,1604,10,37534,2024,8,3,0.1,1443.6000000000001,37533.600000000006,False
2024-08-24,Norte,Red de Distribución,linea_orgánica,LO-003,28,971,5,25829,2024,8,24,0.05,922.4499999999999,25828.6,False
2025-04-19,Oeste,Directo,linea_orgánica,LO-002,21,248,10,46872,2025,4,19,0.1,223.20000000000002,4687.200000000001,False
2024-10-13,Este,Directo,linea_joven,LJ-003,24,1398,0,33552,2024,10,13,0.0,1398.0,33552.0,True
2024-12-09,Oeste,Online,linea_orgánica,LO-001,23,1125,5,24581,2024,12,9,0.05,1068.75,24581.25,False
2025-01-04,Norte,Online,linea_joven,LJ-002,14,1924,0,26936,2025,1,4,0.0,1924.0,26936.0,True
2024-10-16,Oeste,Directo,linea_joven,LJ-001,18,245,10,3969,2024,10,16,0.1,220.5,3969.0,True
2025-01-07,Norte,Directo,linea_orgánica,LO-002,25,1384,10,3114,2025,1,7,0.1,1245.6000000000001,31140.000000000004,False
2025-03-26,Este,Online,linea_joven,LJ-003,3,2044,15,5212,2025,3,26,0.15,1737.3999999999999,5212.2,True
2025-01-23,Oeste,Online,linea_orgánica,LO-003,1,2425,5,2304,2025,1,23,0.05,2303.75,2303.75,False
2024-08-18,Este,Red de Distribución,linea_profesional,LP-001,22,2036,10,40313,2024,8,18,0.1,1832.4,40312.8,False
2025-02-19,Sur,Red de Distribución,linea_joven,LJ-003,2,2315,15,3935,2025,2,19,0.15,1967.75,3935.5,True
2025-04-09,Sur,Online,linea_orgánica,LO-002,14,851,0,11914,2025,4,9,0.0,851.0,11914.0,False
2024-05-30,Sur,Directo,linea_profesional,LP-002,4,1511,10,544,2024,5,30,0.1,1359.9,5439.6,False
2024-08-26,Sur,Directo,linea_orgánica,LO-002,28,1121,10,28249,2024,8,26,0.1,1008.9,28249.2,False
2025-04-17,Sur,Red de Distribución,linea_joven,LJ-003,11,2439,0,26829,2025,4,17,0.0,2439.0,26829.0,True
2024-10-27,Oeste,Online,linea_profesional,LP-002,2,1695,10,3051,2024,10,27,0.1,1525.5,3051.0,False
2024-12-05,Este,Directo,linea_profesional,LP-001,22,2327,10,46075,2024,12,5,0.1,2094.3,46074.600000000006,False
2025-01-26,Centro,Online,linea_profesional,LP-001,13,1499,15,16564,2025,1,26,0.15,1274.1499999999999,16563.949999999997,False
2025-03-15,Oeste,Online,linea_joven,LJ-003,3,1571,5,4477,2025,3,15,0.05,1492.4499999999998,4477.349999999999,True
2024-12-01,Este,Directo,linea_joven,LJ-001,2,1785,15,3035,2024,12,1,0.15,1517.25,3034.5,True
2024-05-29,Oeste,Red de Distribución,linea_orgánica,LO-001,8,1348,10,9706,2024,5,29,0.1,1213.2,9705.6,False
2024-10-27,Oeste,Red de Distribución,linea_joven,LJ-003,23,1175,10,24322,2024,10,27,0.1,1057.5,24322.5,True
2024-12-12,Centro,Online,linea_profesional,LP-001,21,2482,5,49516,2024,12,12,0.05,2357.9,49515.9,False
2024-08-02,Norte,Red de Distribución,linea_joven,LJ-003,22,1719,5,35927,2024,8,2,0.05,1633.05,35927.1,True
2025-04-24,Centro,Red de Distribución,linea_profesional,LP-001,18,1056,10,17107,2025,4,24,0.1,950.4,17107.2,False
2024-09-12,Este,Red de Distribución,linea_orgánica,LO-003,29,2114,0,61306,2024,9,12,0.0,2114.0,61306.0,False
2024-06-01,Oeste,Online,linea_profesional,LP-001,30,2343,0,7029,2024,6,1,0.0,2343.0,70290.0,False
2024-08-24,Centro,Red de Distribución,linea_orgánica,LO-002,30,2083,5,59365,2024,8,24,0.05,1978.85,59365.5,False
2024-11-15,Centro,Online,linea_orgánica,LO-002,7,1654,5,10999,2024,11,15,0.05,1571.3,10999.1,False
2024-12-12,Sur,Directo,linea_joven,LJ-002,3,1905,10,5144,2024,12,12,0.1,1714.5,5143.5,True
2025-02-06,Centro,Red de Distribución,linea_joven,LJ-002,4,123,15,4182,2025,2,6,0.15,104.55,418.2,True
2025-03-16,Centro,Online,linea_orgánica,LO-003,16,147,5,22344,2025,3,16,0.05,139.65,2234.4,False
2025-03-31,Este,Online,linea_profesional,LP-001,14,1734,5,23062,2025,3,31,0.05,1647.3,23062.2,False
2024-10-17,Centro,Directo,linea_joven,LJ-002,5,2141,5,1017,2024,10,17,0.05,2033.9499999999998,10169.75,True
2024-10-21,Oeste,Directo,linea_orgánica,LO-001,20,119,5,2261,2024,10,21,0.05,113.05,2261.0,False
2025-01-16,Norte,Directo,linea_joven,LJ-001,16,2127,0,34032,2025,1,16,0.0,2127.0,34032.0,True
2025-03-19,Sur,Online,linea_joven,LJ-002,25,887,0,22175,2025,3,19,0.0,887.0,22175.0,True
2024-09-20,Oeste,Online,linea_joven,LJ-003,7,1511,15,899,2024,9,20,0.15,1284.35,8990.449999999999,True
2024-11-05,Sur,Red de Distribución,linea_orgánica,LO-003,3,848,15,2162,2024,11,5,0.15,720.8,2162.3999999999996,False
2025-04-15,Sur,Online,linea_profesional,LP-002,6,1143,10,6172,2025,4,15,0.1,1028.7,6172.200000000001,False
2025-02-20,Sur,Online,linea_profesional,LP-002,10,172,0,1720,2025,2,20,0.0,172.0,1720.0,False
2024-12-01,Centro,Red de Distribución,linea_joven,LJ-001,15,2371,15,3023,2024,12,1,0.15,2015.35,30230.25,True
2024-06-03,Sur,Red de Distribución,linea_profesional,LP-002,18,2029,5,34696,2024,6,3,0.05,1927.55,34695.9,False
2024-05-28,Oeste,Directo,linea_profesional,LP-002,23,1992,15,38944,2024,5,28,0.15,1693.2,38943.6,False
2025-04-29,Norte,Directo,linea_orgánica,LO-003,26,123,15,27183,2025,4,29,0.15,104.55,2718.2999999999997,False
2024-11-08,Sur,Directo,linea_joven,LJ-002,26,1992,15,44023,2024,11,8,0.15,1693.2,44023.200000000004,True
2024-09-04,Centro,Directo,linea_profesional,LP-001,21,1506,15,26882,2024,9,4,0.15,1280.1,26882.1,False
2024-08-02,Norte,Red de Distribución,linea_joven,LJ-003,22,989,15,18494,2024,8,2,0.15,840.65,18494.3,True
2025-04-05,Sur,Red de Distribución,linea_orgánica,LO-003,18,1873,15,28657,2025,4,5,0.15,1592.05,28656.899999999998,False
2024-08-02,Oeste,Directo,linea_orgánica,LO-002,24,872,0,20928,2024,8,2,0.0,872.0,20928.0,False
2024-10-05,Norte,Red de Distribución,linea_orgánica,LO-002,1,1675,0,1675,2024,10,5,0.0,1675.0,1675.0,False
2025-03-22,Este,Directo,linea_profesional,LP-002,1,1245,5,1183,2025,3,22,0.05,1182.75,1182.75,False
2024-12-11,Este,Directo,linea_joven,LJ-002,30,195,15,49725,2024,12,11,0.15,165.75,4972.5,True
2024-06-01,Centro,Directo,linea_profesional,LP-001,16,1228,0,19648,2024,6,1,0.0,1228.0,19648.0,False
2024-11-23,Oeste,Directo,linea_orgánica,LO-003,4,136,15,4624,2024,11,23,0.15,115.6,462.4,False
2025-03-08,Norte,Red de Distribución,linea_joven,LJ-001,16,1133,0,18128,2025,3,8,0.0,1133.0,18128.0,True
2025-03-17,Centro,Directo,linea_profesional,LP-002,3,2305,5,6569,2025,3,17,0.05,2189.75,6569.25,False
2024-06-12,Norte,Online,linea_profesional,LP-001,10,231,10,2079,2024,6,12,0.1,207.9,2079.0,False
2024-05-03,Oeste,Red de Distribución,linea_orgánica,LO-002,11,1985,10,19652,2024,5,3,0.1,1786.5,19651.5,False
2024-11-17,Centro,Directo,linea_joven,LJ-003,19,1831,15,29571,2024,11,17,0.15,1556.35,29570.649999999998,True
2025-03-24,Oeste,Red de Distribución,linea_joven,LJ-002,12,2236,10,24149,2025,3,24,0.1,2012.4,24148.800000000003,True
2024-05-18,Oeste,Red de Distribución,linea_profesional,LP-001,30,1617,10,43659,2024,5,18,0.1,1455.3,43659.0,False
2024-10-01,Centro,Red de Distribución,linea_joven,LJ-002,16,1763,0,28208,2024,10,1,0.0,1763.0,28208.0,True
2024-08-29,Norte,Online,linea_joven,LJ-001,22,2261,10,44768,2024,8,29,0.1,2034.9,44767.8,True
2024-07-24,Centro,Online,linea_joven,LJ-002,27,1008,0,27216,2024,7,24,0.0,1008.0,27216.0,True
2025-01-28,Centro,Red de Distribución,linea_orgánica,LO-002,19,1112,5,20072,2025,1,28,0.05,1056.3999999999999,20071.6,False
2024-05-30,Este,Red de Distribución,linea_profesional,LP-002,25,2196,0,5490,2024,5,30,0.0,2196.0,54900.0,False
2025-02-03,Oeste,Red de Distribución,linea_orgánica,LO-003,12,1274,0,15288,2025,2,3,0.0,1274.0,15288.0,False
2024-07-09,Norte,Directo,linea_joven,LJ-003,16,1251,15,17014,2024,7,9,0.15,1063.35,17013.6,True
2024-06-13,Centro,Red de Distribución,linea_profesional,LP-002,24,1132,0,27168,2024,6,13,0.0,1132.0,27168.0,False
2024-07-19,Este,Online,linea_joven,LJ-002,18,1142,15,17473,2024,7,19,0.15,970.6999999999999,17472.6,True
2025-02-20,Norte,Directo,linea_profesional,LP-001,29,2041,10,5327,2025,2,20,0.1,1836.9,53270.100000000006,False
2024-08-20,Sur,Red de Distribución,linea_profesional,LP-001,8,1976,5,15018,2024,8,20,0.05,1877.1999999999998,15017.599999999999,False
2024-09-18,Oeste,Online,linea_orgánica,LO-003,21,1336,10,2525,2024,9,18,0.1,1202.4,25250.4,False
2025-03-03,Este,Online,linea_joven,LJ-002,12,1763,10,1904,2025,3,3,0.1,1586.7,19040.4,True
2025-01-07,Centro,Red de Distribución,linea_orgánica,LO-003,3,2387,15,6087,2025,1,7,0.15,2028.95,6086.85,False
2024-12-01,Oeste,Online,linea_orgánica,LO-003,22,949,0,20878,2024,12,1,0.0,949.0,20878.0,False
2025-04-04,Este,Online,linea_joven,LJ-001,2,2274,5,4321,2025,4,4,0.05,2160.2999999999997,4320.599999999999,True
2024-09-21,Centro,Red de Distribución,linea_orgánica,LO-002,19,1421,5,25649,2024,9,21,0.05,1349.95,25649.05,False
2025-01-02,Este,Directo,linea_orgánica,LO-002,10,2278,0,2278,2025,1,2,0.0,2278.0,22780.0,False
2024-06-19,Este,Directo,linea_profesional,LP-001,9,1291,5,11038,2024,6,19,0.05,1226.45,11038.050000000001,False
2024-11-01,Sur,Directo,linea_joven,LJ-002,26,2345,0,6097,2024,11,1,0.0,2345.0,60970.0,True
2024-12-24,Sur,Red de Distribución,linea_profesional,LP-001,16,2015,5,30628,2024,12,24,0.05,1914.25,30628.0,False
2024-12-05,Oeste,Red de Distribución,linea_joven,LJ-003,18,2262,15,34609,2024,12,5,0.15,1922.7,34608.6,True
2024-08-21,Norte,Directo,linea_orgánica,LO-003,20,94,15,1598,2024,8,21,0.15,79.89999999999999,1597.9999999999998,False
2025-01-22,Norte,Online,linea_profesional,LP-001,22,825,0,1815,2025,1,22,0.0,825.0,18150.0,False
2024-05-03,Oeste,Red de Distribución,linea_joven,LJ-002,12,1895,15,19329,2024,5,3,0.15,1610.75,19329.0,True
2024-05-16,Sur,Online,linea_joven,LJ-002,20,1567,15,26639,2024,5,16,0.15,1331.95,26639.0,True
2024-07-15,Este,Directo,linea_joven,LJ-001,23,1451,15,28367,2024,7,15,0.15,1233.35,28367.05,True
2025-01-06,Este,Online,linea_profesional,LP-002,2,2151,0,4302,2025,1,6,0.0,2151.0,4302.0,False
2025-03-17,Oeste,Red de Distribución,linea_profesional,LP-002,2,1622,10,292,2025,3,17,0.1,1459.8,2919.6,False
2024-10-27,Sur,Red de Distribución,linea_profesional,LP-001,10,1203,5,11428,2024,10,27,0.05,1142.85,11428.5,False
2024-12-15,Oeste,Directo,linea_orgánica,LO-001,18,2069,15,31656,2024,12,15,0.15,1758.6499999999999,31655.699999999997,False
2024-12-11,Norte,Online,linea_joven,LJ-003,19,947,15,15294,2024,12,11,0.15,804.9499999999999,15294.05,True
2025-03-01,Este,Red de Distribución,linea_profesional,LP-002,15,1588,15,20247,2025,3,1,0.15,1349.8,20247.0,False
2024-07-22,Norte,Red de Distribución,linea_profesional,LP-001,11,1867,10,18483,2024,7,22,0.1,1680.3,18483.3,False
2025-01-31,Sur,Directo,linea_joven,LJ-002,19,1741,0,33079,2025,1,31,0.0,1741.0,33079.0,True
2025-02-24,Sur,Directo,linea_profesional,LP-001,19,182,5,32851,2025,2,24,0.05,172.9,3285.1,False
2024-09-04,Centro,Online,linea_profesional,LP-001,27,2001,0,54027,2024,9,4,0.0,2001.0,54027.0,False
2024-07-04,Oeste,Directo,linea_joven,LJ-002,13,1834,0,23842,2024,7,4,0.0,1834.0,23842.0,True
2025-02-16,Oeste,Directo,linea_joven,LJ-003,10,1056,10,9504,2025,2,16,0.1,950.4,9504.0,True
2025-01-24,Este,Red de Distribución,linea_profesional,LP-002,2,2079,15,3534,2025,1,24,0.15,1767.1499999999999,3534.2999999999997,False
2024-07-09,Norte,Directo,linea_orgánica,LO-003,30,2424,10,65448,2024,7,9,0.1,2181.6,65448.0,False
2024-08-02,Centro,Online,linea_profesional,LP-002,20,1077,0,2154,2024,8,2,0.0,1077.0,21540.0,False
2024-11-11,Sur,Red de Distribución,linea_joven,LJ-002,6,1158,15,5906,2024,11,11,0.15,984.3,5905.799999999999,True
2024-09-16,Norte,Red de Distribución,linea_orgánica,LO-003,20,2262,15,38454,2024,9,16,0.15,1922.7,38454.0,False
2024-10-29,Este,Online,linea_profesional,LP-002,16,862,15,11723,2024,10,29,0.15,732.6999999999999,11723.199999999999,False
2024-08-13,Oeste,Directo,linea_joven,LJ-001,15,2148,0,3222,2024,8,13,0.0,2148.0,32220.0,True
2024-11-05,Norte,Directo,linea_profesional,LP-001,18,962,10,15584,2024,11,5,0.1,865.8000000000001,15584.400000000001,False
2024-11-21,Sur,Online,linea_profesional,LP-001,1,1536,0,1536,2024,11,21,0.0,1536.0,1536.0,False
2025-03-23,Norte,Directo,linea_joven,LJ-003,15,2174,5,30979,2025,3,23,0.05,2065.2999999999997,30979.499999999996,True
2024-07-20,Oeste,Directo,linea_profesional,LP-002,26,2069,5,51104,2024,7,20,0.05,1965.55,51104.299999999996,False
2024-09-26,Sur,Directo,linea_profesional,LP-001,28,1384,15,32939,2024,9,26,0.15,1176.3999999999999,32939.2,False
2024-11-18,Este,Red de Distribución,linea_joven,LJ-001,30,1021,5,29099,2024,11,18,0.05,969.9499999999999,29098.499999999996,True
2024-07-25,Centro,Online,linea_profesional,LP-002,7,220,15,1309,2024,7,25,0.15,187.0,1309.0,False
2025-03-03,Oeste,Online,linea_orgánica,LO-001,18,1536,0,27648,2025,3,3,0.0,1536.0,27648.0,False
2025-02-20,Oeste,Red de Distribución,linea_profesional,LP-001,10,2343,5,22259,2025,2,20,0.05,2225.85,22258.5,False
2024-06-09,Este,Red de Distribución,linea_joven,LJ-001,23,2044,0,47012,2024,6,9,0.0,2044.0,47012.0,True
2025-04-17,Centro,Red de Distribución,linea_profesional,LP-001,15,2463,10,3325,2025,4,17,0.1,2216.7000000000003,33250.50000000001,False
2024-08-18,Este,Red de Distribución,linea_joven,LJ-002,7,1084,0,7588,2024,8,18,0.0,1084.0,7588.0,True
2024-09-01,Este,Online,linea_profesional,LP-001,23,872,15,17048,2024,9,1,0.15,741.1999999999999,17047.6,False
2024-09-25,Norte,Directo,linea_profesional,LP-002,26,2151,15,47537,2024,9,25,0.15,1828.35,47537.1,False
2024-06-07,Norte,Red de Distribución,linea_orgánica,LO-001,1,992,0,992,2024,6,7,0.0,992.0,992.0,False
2024-12-09,Oeste,Online,linea_profesional,LP-001,24,1632,10,35251,2024,12,9,0.1,1468.8,35251.2,False
2024-09-21,Norte,Online,linea_joven,LJ-001,7,863,0,6041,2024,9,21,0.0,863.0,6041.0,True
2024-10-04,Centro,Red de Distribución,linea_profesional,LP-001,15,1337,5,19052,2024,10,4,0.05,1270.1499999999999,19052.249999999996,False
2025-01-06,Centro,Online,linea_orgánica,LO-001,28,2093,0,58604,2025,1,6,0.0,2093.0,58604.0,False
2024-11-14,Oeste,Online,linea_joven,LJ-003,2,2082,5,3956,2024,11,14,0.05,1977.8999999999999,3955.7999999999997,True
2024-12-18,Este,Red de Distribución,linea_profesional,LP-002,21,247,5,49276,2024,12,18,0.05,234.64999999999998,4927.65,False
2025-01-22,Sur,Online,linea_orgánica,LO-002,15,1173,10,15836,2025,1,22,0.1,1055.7,15835.5,False
2024-11-13,Norte,Online,linea_profesional,LP-002,13,2199,5,27158,2024,11,13,0.05,2089.0499999999997,27157.649999999998,False
2025-01-15,Sur,Red de Distribución,linea_joven,LJ-002,3,2036,0,6108,2025,1,15,0.0,2036.0,6108.0,True
2024-07-24,Sur,Directo,linea_joven,LJ-001,29,834,5,22977,2024,7,24,0.05,792.3,22976.699999999997,True
2025-03-09,Oeste,Directo,linea_profesional,LP-002,28,1489,5,39607,2025,3,9,0.05,1414.55,39607.4,False
2024-10-15,Norte,Red de Distribución,linea_profesional,LP-002,14,212,0,2968,2024,10,15,0.0,212.0,2968.0,False
2024-10-15,Sur,Red de Distribución,linea_joven,LJ-002,3,1905,10,5144,2024,10,15,0.1,1714.5,5143.5,True
2024-11-15,Centro,Red de Distribución,linea_profesional,LP-002,15,90,10,1215,2024,11,15,0.1,81.0,1215.0,False
2024-07-31,Norte,Red de Distribución,linea_joven,LJ-001,2,891,0,1782,2024,7,31,0.0,891.0,1782.0,True
2024-05-13,Oeste,Online,linea_profesional,LP-001,7,1148,5,7634,2024,5,13,0.05,1090.6,7634.199999999999,False
2025-04-16,Sur,Red de Distribución,linea_profesional,LP-002,15,2121,0,31815,2025,4,16,0.0,2121.0,31815.0,False
2024-06-28,Este,Directo,linea_profesional,LP-002,1,1243,15,1057,2024,6,28,0.15,1056.55,1056.55,False
2025-01-10,Oeste,Online,linea_joven,LJ-003,1,2143,5,2036,2025,1,10,0.05,2035.85,2035.85,True
2024-07-12,Centro,Red de Distribución,linea_profesional,LP-002,27,1019,0,27513,2024,7,12,0.0,1019.0,27513.0,False
2024-12-22,Centro,Red de Distribución,linea_joven,LJ-001,17,875,15,12644,2024,12,22,0.15,743.75,12643.75,True
2025-04-14,Centro,Online,linea_orgánica,LO-002,22,1093,15,20439,2025,4,14,0.15,929.05,20439.1,False
2024-12-26,Este,Directo,linea_profesional,LP-002,19,1233,10,21084,2024,12,26,0.1,1109.7,21084.3,False
2025-03-21,Oeste,Directo,linea_profesional,LP-002,8,187,5,14212,2025,3,21,0.05,177.65,1421.2,False
2025-04-27,Este,Red de Distribución,linea_joven,LJ-003,20,1048,0,2096,2025,4,27,0.0,1048.0,20960.0,True
2024-07-22,Sur,Red de Distribución,linea_profesional,LP-002,29,1389,0,40281,2024,7,22,0.0,1389.0,40281.0,False
2025-04-22,Este,Directo,linea_joven,LJ-002,30,2351,15,5995,2025,4,22,0.15,1998.35,59950.5,True
2025-01-28,Sur,Directo,linea_orgánica,LO-002,16,1398,0,22368,2025,1,28,0.0,1398.0,22368.0,False
2024-06-09,Este,Directo,linea_joven,LJ-003,13,2034,5,2512,2024,6,9,0.05,1932.3,25119.899999999998,True
2025-02-03,Centro,Red de Distribución,linea_joven,LJ-001,19,2222,0,42218,2025,2,3,0.0,2222.0,42218.0,True
2025-02-23,Norte,Red de Distribución,linea_joven,LJ-003,17,243,0,4131,2025,2,23,0.0,243.0,4131.0,True
2025-04-24,Sur,Red de Distribución,linea_profesional,LP-001,8,217,10,15624,2025,4,24,0.1,195.3,1562.4,False
2024-10-01,Este,Online,linea_orgánica,LO-003,25,959,10,21578,2024,10,1,0.1,863.1,21577.5,False
2024-05-02,Centro,Red de Distribución,linea_joven,LJ-002,28,164,0,4592,2024,5,2,0.0,164.0,4592.0,True
2024-09-07,Centro,Red de Distribución,linea_joven,LJ-003,26,2419,15,5346,2024,9,7,0.15,2056.15,53459.9,True
2025-02-17,Sur,Online,linea_profesional,LP-002,14,1914,5,25456,2025,2,17,0.05,1818.3,25456.2,False
2024-12-21,Oeste,Directo,linea_profesional,LP-002,17,2223,10,34012,2024,12,21,0.1,2000.7,34011.9,False
2024-11-05,Centro,Red de Distribución,linea_orgánica,LO-001,28,1042,10,26258,2024,11,5,0.1,937.8000000000001,26258.4,False
2025-01-07,Este,Red de Distribución,linea_orgánica,LO-001,29,1034,15,25488,2025,1,7,0.15,878.9,25488.1,False
2025-04-20,Este,Online,linea_profesional,LP-002,20,2117,0,4234,2025,4,20,0.0,2117.0,42340.0,False
2024-11-27,Oeste,Directo,linea_orgánica,LO-003,25,1552,10,3492,2024,11,27,0.1,1396.8,34920.0,False
2024-10-25,Sur,Online,linea_joven,LJ-003,15,893,15,11386,2024,10,25,0.15,759.05,11385.75,True
2024-10-30,Norte,Directo,linea_joven,LJ-002,7,1613,5,10726,2024,10,30,0.05,1532.35,10726.449999999999,True
2025-04-17,Sur,Directo,linea_profesional,LP-002,21,897,10,16953,2025,4,17,0.1,807.3000000000001,16953.300000000003,False
2024-09-01,Norte,Directo,linea_profesional,LP-002,2,1258,15,2139,2024,9,1,0.15,1069.3,2138.6,False
2024-12-31,Sur,Red de Distribución,linea_orgánica,LO-001,22,2433,0,53526,2024,12,31,0.0,2433.0,53526.0,False
2024-09-24,Norte,Online,linea_orgánica,LO-002,9,1745,0,15705,2024,9,24,0.0,1745.0,15705.0,False
2024-09-20,Sur,Red de Distribución,linea_orgánica,LO-002,16,1705,0,2728,2024,9,20,0.0,1705.0,27280.0,False
2025-03-22,Este,Directo,linea_joven,LJ-002,1,2152,10,1937,2025,3,22,0.1,1936.8,1936.8,True
2024-12-21,Norte,Directo,linea_joven,LJ-003,1,1309,10,1178,2024,12,21,0.1,1178.1000000000001,1178.1000000000001,True
2025-03-25,Centro,Red de Distribución,linea_profesional,LP-002,22,1114,5,23283,2025,3,25,0.05,1058.3,23282.6,False
2024-09-09,Sur,Online,linea_joven,LJ-003,28,2014,0,56392,2024,9,9,0.0,2014.0,56392.0,True
2024-08-08,Centro,Online,linea_joven,LJ-003,28,2482,10,62546,2024,8,8,0.1,2233.8,62546.40000000001,True
